                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86397,                  3.216,                 1.2546,                0.01652,                    0.8,                0.70031,                 0.4531,                0.61864,                 3.3022,                0.89673,             0.00016665,             0.00016665,             0.00016665
                      2,                0.70459,                 1.8961,                 1.1223,                0.88933,                    0.6,                0.78169,                0.69165,                0.53143,                 2.7107,                0.86942,             0.00033873,             0.00033873,             0.00033873
                      3,                0.68416,                 1.3226,                 1.0829,                0.93235,                0.69267,                0.79814,                0.71197,                0.70188,                 2.1572,                 1.0071,             0.00050494,             0.00050494,             0.00050494
                      4,                0.63714,                 1.0303,                 1.0501,                0.97266,                    0.8,                0.82942,                0.75507,                0.73885,                 1.6496,                 1.0665,             0.00066528,             0.00066528,             0.00066528
                      5,                0.68024,                0.96884,                 1.0611,                0.99145,                0.78539,                  0.995,                0.89313,                0.63097,                  1.334,                0.98546,             0.00081976,             0.00081976,             0.00081976
                      6,                0.63911,                0.91126,                 1.0391,                0.96628,                0.78916,                  0.995,                 0.8883,                 0.5267,                 1.1581,                0.86551,             0.00096838,             0.00096838,             0.00096838
                      7,                0.64976,                0.88519,                  1.039,                0.94081,                 0.7745,                0.99223,                0.88083,                0.57455,                  1.182,                0.89592,               0.001001,               0.001001,               0.001001
                      8,                0.60982,                0.87024,                 1.0265,                 0.7965,                      1,                  0.995,                0.91095,                0.45718,                0.93253,                 0.8424,               0.001001,               0.001001,               0.001001
                      9,                0.59495,                0.79588,                 1.0065,                0.81552,                0.98166,                  0.995,                0.88659,                0.59577,                 1.1259,                0.89967,             0.00098268,             0.00098268,             0.00098268
                     10,                0.59134,                0.78582,                 1.0029,                 0.8871,                0.99308,                  0.995,                0.91943,                0.58651,                 1.0588,                0.93482,             0.00096435,             0.00096435,             0.00096435
                     11,                0.57271,                0.75732,                 1.0015,                0.95374,                      1,                  0.995,                0.89189,                0.66976,                0.99178,                0.93572,             0.00094602,             0.00094602,             0.00094602
                     12,                0.58815,                0.76764,                 1.0019,                0.93355,                0.99669,                  0.995,                0.90518,                0.51427,                0.91742,                0.85928,             0.00092769,             0.00092769,             0.00092769
                     13,                0.57613,                0.75032,                0.99815,                0.98348,                      1,                  0.995,                0.90137,                0.53818,                0.87591,                0.90774,             0.00090935,             0.00090935,             0.00090935
                     14,                0.57104,                0.72527,                0.99152,                0.98141,                      1,                  0.995,                0.90292,                0.55957,                0.76959,                0.93036,             0.00089102,             0.00089102,             0.00089102
                     15,                0.56112,                0.72096,                0.99313,                0.97664,                      1,                  0.995,                0.92935,                0.45812,                0.72908,                0.85028,             0.00087269,             0.00087269,             0.00087269
                     16,                0.57629,                0.72019,                 1.0061,                0.99007,                      1,                  0.995,                0.90883,                0.57343,                0.81358,                0.93337,             0.00085436,             0.00085436,             0.00085436
                     17,                0.53894,                0.67849,                0.98731,                0.98771,                      1,                  0.995,                0.92832,                0.50318,                0.76599,                0.88535,             0.00083603,             0.00083603,             0.00083603
                     18,                0.56005,                0.68524,                0.99123,                0.98972,                0.99693,                  0.995,                0.92181,                  0.477,                0.82793,                0.85056,              0.0008177,              0.0008177,              0.0008177
                     19,                0.54256,                0.68537,                0.99163,                0.98357,                      1,                  0.995,                0.93107,                0.44806,                 0.7244,                0.80617,             0.00079936,             0.00079936,             0.00079936
                     20,                0.51203,                0.65002,                0.96314,                0.98485,                      1,                  0.995,                0.92047,                0.45952,                0.67506,                0.84518,             0.00078103,             0.00078103,             0.00078103
                     21,                0.52877,                0.64593,                0.97109,                0.97612,                      1,                  0.995,                0.90675,                0.51323,                0.75682,                0.85071,              0.0007627,              0.0007627,              0.0007627
                     22,                0.54097,                0.66328,                0.97844,                0.96042,                      1,                  0.995,                0.91505,                0.48254,                0.74071,                0.84916,             0.00074437,             0.00074437,             0.00074437
                     23,                0.50504,                0.65094,                0.95874,                0.98226,                      1,                  0.995,                0.91099,                 0.4605,                0.73408,                 0.8538,             0.00072604,             0.00072604,             0.00072604
                     24,                0.51893,                0.63212,                0.96667,                0.98924,                      1,                  0.995,                0.92387,                0.44449,                 0.6995,                0.85181,             0.00070771,             0.00070771,             0.00070771
                     25,                0.52063,                 0.6167,                0.97072,                 0.9805,                      1,                  0.995,                0.92794,                  0.459,                0.69239,                0.84576,             0.00068938,             0.00068938,             0.00068938
                     26,                0.49501,                0.59668,                0.93621,                0.96012,                      1,                  0.995,                0.91525,                0.47711,                0.74125,                0.82672,             0.00067104,             0.00067104,             0.00067104
                     27,                0.48468,                0.60301,                0.97181,                0.97164,                      1,                  0.995,                0.93023,                0.42855,                0.64009,                0.83492,             0.00065271,             0.00065271,             0.00065271
                     28,                0.50794,                0.62311,                 0.9759,                0.96819,                      1,                  0.995,                0.92868,                0.44148,                0.65836,                0.83221,             0.00063438,             0.00063438,             0.00063438
                     29,                  0.499,                0.59545,                 0.9551,                0.97955,                      1,                  0.995,                0.92056,                0.47674,                0.63996,                0.83647,             0.00061605,             0.00061605,             0.00061605
                     30,                0.51919,                0.64608,                0.96496,                0.98995,                      1,                  0.995,                0.92565,                0.42601,                0.63431,                0.81349,             0.00059772,             0.00059772,             0.00059772
                     31,                0.48553,                 0.5955,                0.96399,                0.98721,                      1,                  0.995,                0.93075,                0.40752,                0.62769,                0.80084,             0.00057939,             0.00057939,             0.00057939
                     32,                0.51329,                0.60036,                  0.969,                0.98095,                0.99767,                  0.995,                0.94059,                0.39492,                0.57299,                0.82088,             0.00056105,             0.00056105,             0.00056105
                     33,                 0.4731,                0.58375,                0.95914,                0.98388,                      1,                  0.995,                0.92937,                0.44768,                0.57193,                0.85592,             0.00054272,             0.00054272,             0.00054272
                     34,                0.46487,                0.53424,                0.93772,                0.99015,                      1,                  0.995,                0.94425,                 0.3852,                0.57331,                0.79438,             0.00052439,             0.00052439,             0.00052439
                     35,                0.47594,                0.57474,                0.95957,                 0.9814,                      1,                  0.995,                0.93301,                0.40039,                0.60892,                0.80009,             0.00050606,             0.00050606,             0.00050606
                     36,                0.45393,                0.54587,                0.93794,                0.98474,                0.99803,                  0.995,                0.93956,                0.41799,                0.57402,                0.82785,             0.00048773,             0.00048773,             0.00048773
                     37,                0.48026,                0.55021,                0.94488,                0.99176,                0.98745,                  0.995,                 0.9406,                0.42583,                0.56789,                0.82521,              0.0004694,              0.0004694,              0.0004694
                     38,                0.45914,                0.55619,                0.94401,                0.98962,                0.99518,                  0.995,                0.93384,                0.46883,                0.58622,                 0.8422,             0.00045107,             0.00045107,             0.00045107
                     39,                0.44642,                0.55098,                0.93823,                0.99373,                0.99775,                  0.995,                0.93865,                0.42185,                0.53956,                0.83306,             0.00043273,             0.00043273,             0.00043273
                     40,                0.44154,                0.52423,                 0.9357,                 0.9919,                      1,                  0.995,                0.93102,                0.38776,                0.54889,                0.80382,              0.0004144,              0.0004144,              0.0004144
                     41,                0.44664,                 0.5399,                0.93998,                0.99063,                      1,                  0.995,                0.94439,                 0.3844,                0.58041,                0.78777,             0.00039607,             0.00039607,             0.00039607
                     42,                0.43192,                0.50269,                0.91803,                0.98644,                      1,                  0.995,                0.94627,                0.38053,                0.55871,                0.79401,             0.00037774,             0.00037774,             0.00037774
                     43,                0.42733,                0.49567,                0.92554,                0.98873,                      1,                  0.995,                0.94055,                0.39062,                0.51986,                0.80734,             0.00035941,             0.00035941,             0.00035941
                     44,                0.42333,                 0.4868,                0.92699,                0.99067,                      1,                  0.995,                0.94766,                0.38596,                  0.515,                0.80332,             0.00034108,             0.00034108,             0.00034108
                     45,                0.44516,                0.51146,                0.91995,                0.99134,                      1,                  0.995,                0.95109,                0.39478,                0.52474,                0.79372,             0.00032275,             0.00032275,             0.00032275
                     46,                0.43245,                0.50469,                0.93469,                0.99146,                      1,                  0.995,                0.94778,                 0.3923,                0.53134,                0.78768,             0.00030441,             0.00030441,             0.00030441
                     47,                0.42356,                0.50456,                 0.9373,                 0.9898,                      1,                  0.995,                0.93993,                0.39948,                0.52113,                0.79814,             0.00028608,             0.00028608,             0.00028608
                     48,                0.42018,                0.48417,                0.92148,                0.98764,                      1,                  0.995,                0.94174,                0.38864,                0.51953,                0.79502,             0.00026775,             0.00026775,             0.00026775
                     49,                0.42173,                0.47827,                0.91063,                0.98718,                      1,                  0.995,                0.94531,                0.37281,                0.50861,                0.78663,             0.00024942,             0.00024942,             0.00024942
                     50,                0.40129,                0.46853,                0.91616,                0.98873,                  0.999,                  0.995,                0.94736,                0.37581,                0.49221,                0.78162,             0.00023109,             0.00023109,             0.00023109
                     51,                0.37531,                0.51694,                0.94252,                 0.9883,                0.99906,                  0.995,                0.94258,                0.38981,                0.50835,                0.76944,             0.00021276,             0.00021276,             0.00021276
                     52,                0.36301,                0.49408,                0.89644,                0.98388,                      1,                  0.995,                0.93908,                0.38877,                0.52593,                0.77037,             0.00019442,             0.00019442,             0.00019442
                     53,                  0.347,                0.49828,                0.89322,                0.98346,                      1,                  0.995,                0.94841,                0.37791,                0.50683,                0.77703,             0.00017609,             0.00017609,             0.00017609
                     54,                0.35401,                0.47563,                0.92696,                0.98725,                      1,                  0.995,                0.94157,                 0.3798,                0.47237,                0.79654,             0.00015776,             0.00015776,             0.00015776
                     55,                0.35745,                0.45415,                0.90899,                0.98777,                      1,                  0.995,                 0.9437,                0.37365,                0.46962,                0.79684,             0.00013943,             0.00013943,             0.00013943
                     56,                0.34162,                0.44658,                0.91322,                0.98891,                      1,                  0.995,                0.94182,                0.37052,                 0.4655,                 0.7847,              0.0001211,              0.0001211,              0.0001211
                     57,                0.33262,                0.43405,                0.90404,                0.99139,                      1,                  0.995,                0.93497,                 0.3575,                0.45801,                0.77479,             0.00010277,             0.00010277,             0.00010277
                     58,                0.33855,                 0.4493,                0.93119,                0.99184,                      1,                  0.995,                0.94275,                 0.3546,                0.45656,                0.77175,             8.4436e-05,             8.4436e-05,             8.4436e-05
                     59,                0.32557,                0.43951,                0.90936,                0.99216,                      1,                  0.995,                0.93932,                0.35198,                0.45363,                0.77158,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     60,                0.32449,                0.43685,                 0.8946,                0.99124,                      1,                  0.995,                0.93976,                 0.3497,                0.45053,                0.77201,             4.7773e-05,             4.7773e-05,             4.7773e-05
