Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,4.4525E-06,-1.372E-05,0.015651,0,0,0,1.7613,0.0022157,1.9729E-07,6.2687E-11,0.0022117,-1.9316E-10,0.0037074,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/base_link.STL,0.64706,0.61961,0.58431,1,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/base_link.STL,,All assembly v3 (body)-1,座標系1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Leg1_Link1,-0.16164,-0.16206,0.0078727,0,0,0,0.19524,0.00013212,-2.569E-05,3.8551E-10,0.00013211,4.1271E-10,0.00012874,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg1_Link1.STL,0.64706,0.61961,0.58431,1,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg1_Link1.STL,,All assembly v3 (Leg1_joint1)-1,座標系1,軸1,Leg1_Joint1,revolute,0,0,0,0,0,0,base_link,0,0,-1,200,3,-1.57,1.57,,,,,,,,
Leg1_Link2,-0.20029,-0.19993,-0.0487,0,0,0,0.2225,0.00024185,1.6469E-05,2.7889E-10,0.00024185,-2.7889E-10,0.00016006,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg1_Link2.STL,0.64706,0.61961,0.58431,1,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg1_Link2.STL,,All assembly v3 (Leg1_joint2)-1,座標系1,軸2,Leg1_Joint2,revolute,0,0,0,0,0,0,Leg1_Link1,0.70711,-0.70711,0,200,3,-1.57,1.57,,,,,,,,
Leg1_Link3,-0.19985,-0.20037,-0.14553,0,0,0,0.14207,4.5915E-05,-5.5477E-06,-6.9185E-10,4.5915E-05,1.1922E-09,5.1594E-05,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg1_Link3.STL,0.64706,0.61961,0.58431,1,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg1_Link3.STL,,All assembly v3 (Leg1_joint3)-1,座標系1,軸3,Leg1_Joint3,revolute,0,0,0,0,0,0,Leg1_Link2,0.70711,-0.70711,0,200,3,-1.57,1.57,,,,,,,,
Leg2_Link1,-0.16206,0.16164,0.0078727,0,0,0,0.19524,0.00013211,2.569E-05,4.1271E-10,0.00013212,-3.8551E-10,0.00012874,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg2_Link1.STL,0.64706,0.61961,0.58431,1,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg2_Link1.STL,,All assembly v3 (Leg2_joint1)-1,座標系1,軸4,Leg2_Joint1,revolute,0,0,0,0,0,0,base_link,0,0,-1,200,3,-1.57,1.57,,,,,,,,
Leg2_Link2,-0.19993,0.20029,-0.0487,0,0,0,0.2225,0.00024185,-1.6469E-05,-3.0519E-10,0.00024185,3.0519E-10,0.00016006,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg2_Link2.STL,0.64706,0.61961,0.58431,1,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg2_Link2.STL,,All assembly v3 (Leg2_joint2)-1,座標系1,軸5,Leg2_Joint2,revolute,0,0,0,0,0,0,Leg2_Link1,0.70711,0.70711,0,200,3,-1.57,1.57,,,,,,,,
Leg2_Link3,-0.20037,0.19985,-0.14553,0,0,0,0.14207,4.5915E-05,5.5477E-06,1.1923E-09,4.5915E-05,6.9184E-10,5.1594E-05,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg2_Link3.STL,0.64706,0.61961,0.58431,1,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg2_Link3.STL,,All assembly v3 (Leg2_joint3)-1,座標系1,軸13,Leg2_joint3,revolute,0,0,0,0,0,0,Leg2_Link2,0.70711,0.70711,0,200,3,-1.57,1.57,,,,,,,,
Leg3_Link1,0.16181,-0.16189,0.0078731,0,0,0,0.19524,0.00013212,2.569E-05,3.8551E-10,0.00013211,-4.1271E-10,0.00012874,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg3_Link1.STL,0.64706,0.61961,0.58431,1,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg3_Link1.STL,,All assembly v3 (Leg3_joint1)-1,座標系1,軸7,Leg3_Joint1,revolute,0,0,0,0,0,0,base_link,0,0,-1,200,3,-1.57,1.57,,,,,,,,
Leg3_Link2,0.20046,-0.19976,-0.0487,0,0,0,0.2225,0.00024185,-1.6469E-05,-3.0519E-10,0.00024185,3.0519E-10,0.00016006,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg3_Link2.STL,0.64706,0.61961,0.58431,1,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg3_Link2.STL,,All assembly v3 (Leg3_joint2)-1,座標系1,軸8,Leg3_Joint2,revolute,0,0,0,0,0,0,Leg3_Link1,0.70711,0.70711,0,200,3,-1.57,1.57,,,,,,,,
Leg3_Link3,0.2009,-0.19932,-0.14553,0,0,0,0.14207,4.5915E-05,5.5477E-06,-1.1923E-09,4.5915E-05,-6.9184E-10,5.1594E-05,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg3_Link3.STL,0.64706,0.61961,0.58431,1,0,0,0,0,0,0,package://Moonbot_1_urdf/meshes/Leg3_Link3.STL,,All assembly v3 (Leg3_joint3)-1,座標系1,軸9,Leg3_Joint3,revolute,0,0,0,0,0,0,Leg3_Link2,0.70711,0.70711,0,200,3,-1.57,1.57,,,,,,,,
