time,R0_1,R0_2,R0_3,Q0_1,Q0_2,Q0_3,v0_1,v0_2,v0_3,w0_1,w0_2,w0_3,vd0_1,vd0_2,vd0_3,wd0_1,wd0_2,wd0_3,q_1,q_2,q_3,q_4,q_5,q_6,q_7,q_8,q_9,q_10,q_11,q_12,qd_1,qd_2,qd_3,qd_4,qd_5,qd_6,qd_7,qd_8,qd_9,qd_10,qd_11,qd_12,qdd_1,qdd_2,qdd_3,qdd_4,qdd_5,qdd_6,qdd_7,qdd_8,qdd_9,qdd_10,qdd_11,qdd_12,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_max,tau_rms,pos_e1_1,pos_e1_2,pos_e1_3,pos_e2_1,pos_e2_2,pos_e2_3,pos_e3_1,pos_e3_2,pos_e3_3,pos_e4_1,pos_e4_2,pos_e4_3,Fe1_1,Fe1_2,Fe1_3,Fe_res1,Fe2_1,Fe2_2,Fe2_3,Fe_res2,Fe3_1,Fe3_2,Fe3_3,Fe_res3,Fe4_1,Fe4_2,Fe4_3,Fe_res4,Te1_1,Te1_2,Te1_3,Te_res1,Te2_1,Te2_2,Te2_3,Te_res2,Te3_1,Te3_2,Te3_3,Te_res3,Te4_1,Te4_2,Te4_3,Te_res4,tsm,manipulability1,manipulability2,manipulability3,manipulability4,des_q_1,des_q_2,des_q_3,des_q_4,des_q_5,des_q_6,des_q_7,des_q_8,des_q_9,des_q_10,des_q_11,des_q_12
0,0.21,0,0.23,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693331336882089,-0.819383064102993,-1.11079684142035,0.0609002082779879,-0.780471435409627,-1.07328700891889,-0.0609002082779884,-0.780471435409626,-1.07328700891889,-0.0693331336882093,-0.819383064102993,-1.11079684142034,0,0,0,-4.44089209850063e-14,-1.11022302462516e-14,0,-4.44089209850063e-14,0,0,0,-1.11022302462516e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.2,8.32667268468867e-17,1.07552855510562e-16,0.2,5.55111512312578e-17,5.20417042793042e-17,-0.2,5.55111512312578e-17,0.4,-0.2,-2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194182475759851,0.00171073781155727,0.00190971953901106,0.00190971953901106,0.00171073781155727,0.0693331336882089,-0.819383064102993,-1.11079684142035,0.0609002082779879,-0.780471435409627,-1.07328700891889,-0.0609002082779884,-0.780471435409626,-1.07328700891889,-0.0693331336882093,-0.819383064102993,-1.11079684142034
0.05,0.21312,-0.00416000000000001,0.23,-0,0,-0,0.106175999999999,-0.141568,0,0,0,0,0,0,0,0,0,0,0.0120131520477836,-0.774398343147373,-1.21036662905679,0.0522643638697766,-0.768482166962752,-1.0565462062995,-0.105643515812733,-0.781224015690148,-1.07423284117941,-0.0654418194352662,-0.835682391330789,-1.12143547588565,-1.99135433262315,1.34636760693434,-3.04829352891964,-0.285615887563262,0.395408772331962,0.589634579970166,-1.52518182407175,-0.0192076013344589,-0.0240339664841827,0.137016542414514,-0.566252668965039,-0.343440932016748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4052,0.1896,0.00704000000000002,3.12250225675825e-17,0.2,2.77555756156289e-17,8.32667268468867e-17,-0.2,5.55111512312578e-17,0.4,-0.2,-8.32667268468867e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0017308648303434,0.00197511456112882,0.00190568769064189,0.00163229094714566,0.0120131520477836,-0.774398343147373,-1.21036662905679,0.0522643638697766,-0.768482166962752,-1.0565462062995,-0.105643515812733,-0.781224015690148,-1.07423284117941,-0.0654418194352662,-0.835682391330789,-1.12143547588565
0.1,0.22056,-0.01408,0.23,-0,0,-0,0.169536000000001,-0.226048000000001,0,0,0,0,0,0,0,0,0,0,-0.138878521296825,-0.717276642884362,-1.35302547654501,0.0343376431325115,-0.744618284859533,-1.0092150364727,-0.212590796623745,-0.780695562662166,-1.07356985675911,-0.0542363015131491,-0.87858717603677,-1.14020598699646,-3.605742919869,0.772722657910629,-2.2280456921326,-0.37907251508269,0.482530389013558,1.17388564771517,-2.4315968397052,0.0408396394161015,0.0512845319297739,0.283236120558605,-1.02615538543099,-0.346949540832142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4176,0.1648,0.01792,2.04697370165263e-16,0.2,5.55111512312578e-17,1.17961196366423e-16,-0.2,5.55111512312578e-17,0.4,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00169410361414334,0.00211307772043995,0.00190851794806713,0.00143671438140545,-0.138878521296825,-0.717276642884362,-1.35302547654501,0.0343376431325115,-0.744618284859533,-1.0092150364727,-0.212590796623745,-0.780695562662166,-1.07356985675911,-0.0542363015131491,-0.87858717603677,-1.14020598699646
0.15,0.22944,-0.0259200000000001,0.23,-0,0,-0,0.175296,-0.233728,0,0,0,0,0,0,0,0,0,0,-0.340532429617584,-0.733477785684025,-1.35889524170182,0.0168115608340673,-0.725812767740446,-0.937709950240878,-0.337963711581834,-0.775914925250351,-1.06731243639222,-0.0356701841905567,-0.936745402795473,-1.15071850549213,-4.11691310829132,-1.09078322246353,1.41477499963205,-0.318053724752021,0.280484174038431,1.55222538347086,-2.43849334470734,0.127839764268733,0.172065811679012,0.426098237390793,-1.20488823949588,-0.1063004635391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4324,0.1352,0.01792,-1.73472347597681e-17,0.2,5.55111512312578e-17,9.71445146547012e-17,-0.2,8.32667268468867e-17,0.4,-0.2,2.77555756156289e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00161986200252919,0.00223276733426455,0.00193430919910089,0.0011919831459085,-0.340532429617584,-0.733477785684025,-1.35889524170182,0.0168115608340673,-0.725812767740446,-0.937709950240878,-0.337963711581834,-0.775914925250351,-1.06731243639222,-0.0356701841905567,-0.936745402795473,-1.15071850549213
0.2,0.23688,-0.0358400000000001,0.23,-0,0,-0,0.123456000000002,-0.164608000000002,0,0,0,0,0,0,0,0,0,0,-0.518269480744594,-0.812702786937598,-1.22794894331627,0.00458712378939685,-0.719479041180463,-0.863112751410094,-0.438574494580043,-0.768905740712595,-1.05719744199046,-0.0127945773822313,-0.990807162661009,-1.14973465252224,-2.95566186891993,-1.67870560526791,2.96973082282257,-0.189743573894896,0.0386077262142015,1.34264564486806,-1.63296462173088,0.132357203635791,0.200400910794585,0.445072995892559,-0.928780854321032,0.0777150797258486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4448,0.1104,0.00704000000000007,2.23128807097517e-16,0.2,8.32667268468867e-17,1.80411241501588e-16,-0.2,8.32667268468867e-17,0.4,-0.2,6.93889390390723e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155099349508077,0.00227864295725779,0.00197276489341969,0.000981225534457189,-0.518269480744594,-0.812702786937598,-1.22794894331627,0.00458712378939685,-0.719479041180463,-0.863112751410094,-0.438574494580043,-0.768905740712595,-1.05719744199046,-0.0127945773822313,-0.990807162661009,-1.14973465252224
0.25,0.23985984,-0.0398131200000001,0.23,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,-0.594796897721172,-0.863300724268467,-1.13482421136054,0.000199937551085494,-0.719745277373081,-0.828793107363909,-0.477312718063445,-0.765488944026798,-1.05180060889028,-0.000628573313921521,-1.01372137631728,-1.14685517575646,-0.56766644116526,-0.232897006188992,0.511590860200783,0,0,0,0,0,0,1.77635683940025e-13,-2.22044604925031e-14,-1.77635683940025e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.0999999999999998,5.55111512312578e-17,9.8879238130678e-17,0.2,1.11022302462516e-16,1.38777878078145e-16,-0.2,8.32667268468867e-17,0.4,-0.2,1.52655665885959e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161335411977755,0.00150474056363382,0.0022781757079255,0.00199180636708307,0.000896054258006466,-0.594796897721172,-0.863300724268467,-1.13482421136054,0.000199937551085494,-0.719745277373081,-0.828793107363909,-0.477312718063445,-0.765488944026798,-1.05180060889028,-0.000628573313921521,-1.01372137631728,-1.14685517575646
0.3,0.241633484008036,-0.0386228376249212,0.23000945152,-0,0,-0,0.0603584699350179,0.0405062248257648,0.00032164249599842,0,0,0,0,0,0,0,0,0,-0.60439222879461,-0.870400760508523,-1.13733028200348,0.0128512247619588,-0.719951563452152,-0.825525824403456,-0.47252943405832,-0.761195930652155,-1.04423743549042,0.0277260019456227,-0.949909786456998,-1.24049183253613,-0.331370819554899,-0.242838336019624,-0.0825811666452125,0.429799294631694,-0.00725717543600402,0.11361687714242,0.161001068823641,0.143993564106815,0.260786336605179,0.926677598540504,2.01593569465363,-2.8666305438156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.0999999999999999,2.77555756156289e-17,5.24753851482984e-17,0.2,2.77555756156289e-17,2.35922392732846e-16,-0.2,1.11022302462516e-16,0.4052,-0.2,0.0070400000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00147317008663034,0.00227719800323366,0.00201633568039472,0.000988080388708485,-0.60439222879461,-0.870400760508523,-1.13733028200348,0.0128512247619588,-0.719951563452152,-0.825525824403456,-0.47252943405832,-0.761195930652155,-1.04423743549042,0.0277260019456227,-0.949909786456998,-1.24049183253613
0.35,0.24586294279643,-0.0357844719612714,0.23003198976,-0,0,-0,0.0963770867136032,0.0646781130581336,0.000513581055999746,0,0,0,0,0,0,0,0,0,-0.629116677519847,-0.887749867607881,-1.14234576699841,0.042743232990448,-0.720539115543471,-0.816849986064476,-0.461735378561325,-0.751729746593014,-1.02495866946666,0.0834225364653021,-0.841638665549877,-1.3736688626491,-0.587668424920706,-0.400256620707762,-0.102526181519735,0.67756484097492,-0.0147132935613192,0.208817547291495,0.238711897457566,0.205943848775769,0.45497769271865,1.14269400795539,1.97572227698538,-2.0465013876148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.0999999999999999,8.32667268468867e-17,7.50267903359969e-17,0.2,5.55111512312578e-17,1.66533453693773e-16,-0.2,1.11022302462516e-16,0.4176,-0.2,0.0179199999999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00139751918638126,0.00227418461222106,0.00207178693198693,0.0011707816795466,-0.629116677519847,-0.887749867607881,-1.14234576699841,0.042743232990448,-0.720539115543471,-0.816849986064476,-0.461735378561325,-0.751729746593014,-1.02495866946666,0.0834225364653021,-0.841638665549877,-1.3736688626491
0.4,0.25091100651161,-0.0323967452014314,0.23005889024,-0,0,-0,0.0996515064207448,0.0668755574429011,0.000531030015998857,0,0,0,0,0,0,0,0,0,-0.662523541507971,-0.909138119650303,-1.14660915405272,0.0778602198098941,-0.721464653146167,-0.804809496083982,-0.449877154847455,-0.74192245912911,-0.99956622874164,0.133886586503879,-0.797050862549964,-1.37139944366235,-0.696655617565867,-0.427457839111656,-0.0696460929432874,0.688087023865025,-0.0205399259085803,0.252599550919896,0.225869568516224,0.180280421932444,0.522427913694656,0.887416382432882,0.031424463091434,1.56617140519941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.0999999999999999,8.32667268468867e-17,2.03830008427275e-16,0.2,8.32667268468867e-17,7.28583859910259e-17,-0.2,1.11022302462516e-16,0.4324,-0.2,0.0179199999999989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130696150175595,0.00226895580530682,0.00213158115862564,0.00134859486664108,-0.662523541507971,-0.909138119650303,-1.14660915405272,0.0778602198098941,-0.721464653146167,-0.804809496083982,-0.449877154847455,-0.74192245912911,-0.99956622874164,0.133886586503879,-0.797050862549964,-1.37139944366235
0.45,0.255140465300005,-0.0295583795377818,0.23008142848,-0,0,-0,0.070181729056451,0.0470985579800465,0.000373989376001305,0,0,0,0,0,0,0,0,0,-0.694383651979641,-0.927523969118721,-1.14879345015413,0.106765533219432,-0.722483574440416,-0.79324520462386,-0.440706726295954,-0.735031056674815,-0.976189959684122,0.16686263947691,-0.837159805087663,-1.23395390568228,-0.555891743949877,-0.307556190418845,-0.0277377223454778,0.476205432563859,-0.0186894162967799,0.201498234146058,0.147682227168833,0.10566001145762,0.401636072238531,0.500260894110749,-1.13656359077994,3.08061826675026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45,0.0999999999999999,0,2.13370987545147e-16,0.2,0,1.2490009027033e-16,-0.2,8.32667268468867e-17,0.4448,-0.2,0.00703999999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123130874289639,0.00226276425470373,0.00217542862177072,0.00144440314840128,-0.694383651979641,-0.927523969118721,-1.14879345015413,0.106765533219432,-0.722483574440416,-0.79324520462386,-0.440706726295954,-0.735031056674815,-0.976189959684122,0.16686263947691,-0.837159805087663,-1.23395390568228
